,result,table,_start,_stop,_time,_value,_field,_measurement,device
42,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.492290+00:00,33.6,temperature,sensor_metrics,battery-01
43,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.496529+00:00,33.6,temperature,sensor_metrics,battery-01
44,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.499589+00:00,31.7,temperature,sensor_metrics,battery-01
45,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.501822+00:00,34.8,temperature,sensor_metrics,battery-01
46,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.505268+00:00,48.2,temperature,sensor_metrics,battery-01
47,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.507919+00:00,43.6,temperature,sensor_metrics,battery-01
48,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.510341+00:00,30.4,temperature,sensor_metrics,battery-01
49,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.512961+00:00,44.6,temperature,sensor_metrics,battery-01
50,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.514838+00:00,31.9,temperature,sensor_metrics,battery-01
51,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.516362+00:00,33.0,temperature,sensor_metrics,battery-01
52,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.517958+00:00,49.6,temperature,sensor_metrics,battery-01
53,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.519872+00:00,41.2,temperature,sensor_metrics,battery-01
54,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.524251+00:00,38.0,temperature,sensor_metrics,battery-01
55,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.530051+00:00,32.4,temperature,sensor_metrics,battery-01
56,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.533450+00:00,36.1,temperature,sensor_metrics,battery-01
57,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.535795+00:00,34.2,temperature,sensor_metrics,battery-01
58,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.538524+00:00,40.8,temperature,sensor_metrics,battery-01
59,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.541111+00:00,48.9,temperature,sensor_metrics,battery-01
60,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.543007+00:00,30.4,temperature,sensor_metrics,battery-01
61,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.544407+00:00,33.5,temperature,sensor_metrics,battery-01
62,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.545651+00:00,46.1,temperature,sensor_metrics,battery-01
63,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.546725+00:00,40.6,temperature,sensor_metrics,battery-01
64,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.548705+00:00,40.9,temperature,sensor_metrics,battery-01
65,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.551370+00:00,30.8,temperature,sensor_metrics,battery-01
66,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.554173+00:00,32.3,temperature,sensor_metrics,battery-01
67,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.556136+00:00,35.8,temperature,sensor_metrics,battery-01
68,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.558128+00:00,32.8,temperature,sensor_metrics,battery-01
69,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.559539+00:00,38.9,temperature,sensor_metrics,battery-01
70,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.561027+00:00,33.9,temperature,sensor_metrics,battery-01
71,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.562398+00:00,39.2,temperature,sensor_metrics,battery-01
72,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.563710+00:00,45.0,temperature,sensor_metrics,battery-01
73,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.565908+00:00,30.2,temperature,sensor_metrics,battery-01
74,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.567928+00:00,38.9,temperature,sensor_metrics,battery-01
75,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.569904+00:00,34.1,temperature,sensor_metrics,battery-01
76,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.572559+00:00,48.9,temperature,sensor_metrics,battery-01
77,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.574108+00:00,44.2,temperature,sensor_metrics,battery-01
78,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.575638+00:00,40.8,temperature,sensor_metrics,battery-01
79,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.577110+00:00,44.3,temperature,sensor_metrics,battery-01
80,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.578660+00:00,41.9,temperature,sensor_metrics,battery-01
81,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.580889+00:00,47.4,temperature,sensor_metrics,battery-01
82,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.582517+00:00,35.5,temperature,sensor_metrics,battery-01
83,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.585171+00:00,38.6,temperature,sensor_metrics,battery-01
84,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.587079+00:00,41.0,temperature,sensor_metrics,battery-01
85,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.589974+00:00,32.4,temperature,sensor_metrics,battery-01
86,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.591270+00:00,39.2,temperature,sensor_metrics,battery-01
87,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.592356+00:00,32.3,temperature,sensor_metrics,battery-01
88,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.593423+00:00,44.9,temperature,sensor_metrics,battery-01
89,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.594752+00:00,40.9,temperature,sensor_metrics,battery-01
90,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.596449+00:00,31.7,temperature,sensor_metrics,battery-01
91,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.597575+00:00,42.2,temperature,sensor_metrics,battery-01
92,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.599337+00:00,35.1,temperature,sensor_metrics,battery-01
93,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.600720+00:00,49.5,temperature,sensor_metrics,battery-01
94,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.602584+00:00,41.8,temperature,sensor_metrics,battery-01
95,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.604322+00:00,34.1,temperature,sensor_metrics,battery-01
96,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.606173+00:00,44.1,temperature,sensor_metrics,battery-01
97,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.607428+00:00,30.4,temperature,sensor_metrics,battery-01
98,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.608304+00:00,39.8,temperature,sensor_metrics,battery-01
99,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.609441+00:00,33.5,temperature,sensor_metrics,battery-01
100,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.610536+00:00,32.6,temperature,sensor_metrics,battery-01
101,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.612014+00:00,35.2,temperature,sensor_metrics,battery-01
102,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.613083+00:00,43.2,temperature,sensor_metrics,battery-01
103,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.614031+00:00,32.2,temperature,sensor_metrics,battery-01
104,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.615181+00:00,41.4,temperature,sensor_metrics,battery-01
105,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.616623+00:00,41.1,temperature,sensor_metrics,battery-01
106,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.618058+00:00,43.2,temperature,sensor_metrics,battery-01
107,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.620237+00:00,30.8,temperature,sensor_metrics,battery-01
108,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.622001+00:00,43.3,temperature,sensor_metrics,battery-01
109,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.623069+00:00,31.4,temperature,sensor_metrics,battery-01
110,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.624137+00:00,41.3,temperature,sensor_metrics,battery-01
111,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.625170+00:00,41.2,temperature,sensor_metrics,battery-01
112,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.626140+00:00,34.7,temperature,sensor_metrics,battery-01
113,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.627230+00:00,41.4,temperature,sensor_metrics,battery-01
114,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.628735+00:00,49.5,temperature,sensor_metrics,battery-01
115,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.630448+00:00,40.9,temperature,sensor_metrics,battery-01
116,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.631356+00:00,31.5,temperature,sensor_metrics,battery-01
117,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.632256+00:00,34.0,temperature,sensor_metrics,battery-01
118,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.633369+00:00,46.8,temperature,sensor_metrics,battery-01
119,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.634655+00:00,41.8,temperature,sensor_metrics,battery-01
120,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.636031+00:00,45.4,temperature,sensor_metrics,battery-01
121,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.638219+00:00,46.8,temperature,sensor_metrics,battery-01
122,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.639492+00:00,41.7,temperature,sensor_metrics,battery-01
123,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.640648+00:00,33.4,temperature,sensor_metrics,battery-01
124,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.642731+00:00,49.5,temperature,sensor_metrics,battery-01
125,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.644275+00:00,36.0,temperature,sensor_metrics,battery-01
126,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.645857+00:00,44.1,temperature,sensor_metrics,battery-01
127,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.648249+00:00,39.1,temperature,sensor_metrics,battery-01
128,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.650030+00:00,44.2,temperature,sensor_metrics,battery-01
129,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.652397+00:00,31.7,temperature,sensor_metrics,battery-01
130,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.655123+00:00,30.7,temperature,sensor_metrics,battery-01
131,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.657253+00:00,39.6,temperature,sensor_metrics,battery-01
132,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.658925+00:00,44.8,temperature,sensor_metrics,battery-01
133,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.660278+00:00,39.0,temperature,sensor_metrics,battery-01
134,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.661537+00:00,35.7,temperature,sensor_metrics,battery-01
135,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.662576+00:00,39.6,temperature,sensor_metrics,battery-01
136,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.663621+00:00,35.9,temperature,sensor_metrics,battery-01
137,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.666125+00:00,34.6,temperature,sensor_metrics,battery-01
138,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.669782+00:00,46.1,temperature,sensor_metrics,battery-01
139,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.675683+00:00,47.3,temperature,sensor_metrics,battery-01
140,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.678893+00:00,37.5,temperature,sensor_metrics,battery-01
141,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.682490+00:00,47.5,temperature,sensor_metrics,battery-01
142,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.684785+00:00,42.9,temperature,sensor_metrics,battery-01
143,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.691619+00:00,30.4,temperature,sensor_metrics,battery-01
144,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.692965+00:00,47.2,temperature,sensor_metrics,battery-01
145,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.694320+00:00,34.2,temperature,sensor_metrics,battery-01
146,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.696259+00:00,43.6,temperature,sensor_metrics,battery-01
147,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.698473+00:00,35.8,temperature,sensor_metrics,battery-01
148,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.701802+00:00,32.7,temperature,sensor_metrics,battery-01
149,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.703449+00:00,43.9,temperature,sensor_metrics,battery-01
150,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.705294+00:00,34.1,temperature,sensor_metrics,battery-01
151,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.706446+00:00,41.1,temperature,sensor_metrics,battery-01
152,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.708028+00:00,34.0,temperature,sensor_metrics,battery-01
153,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.709854+00:00,42.1,temperature,sensor_metrics,battery-01
154,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.712467+00:00,30.6,temperature,sensor_metrics,battery-01
155,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.716557+00:00,35.5,temperature,sensor_metrics,battery-01
156,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.731692+00:00,48.5,temperature,sensor_metrics,battery-01
157,_result,0,2025-04-22 20:23:27.299156+00:00,2025-04-22 21:23:27.299156+00:00,2025-04-22 21:22:55.760485+00:00,48.0,temperature,sensor_metrics,battery-01
